school_name,grade,average_math_level,average_ela_level,district,lat,long,city,zip,grade_low,grade_high,econ_need_index,perc_ell,perc_asian,perc_black,perc_hispanic,perc_white,perc_attendance,perc_chron_absent,perc_rigorous_instruction,perc_collaborative_teachers,perc_supportive_environment,perc_effective_leadership,perc_community_ties,perc_trust,grades,n_grades,in_manhattan
P.S. 015 Roberto Clemente,3,1.5714285714285714,1.7,1,40.722075,-73.978747,MANHATTAN,10009,PK,05,0.919,9,5,32,60,1,94,18,89,94,86,91,85,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 015 Roberto Clemente,4,2.2666666666666666,1.8666666666666667,1,40.722075,-73.978747,MANHATTAN,10009,PK,05,0.919,9,5,32,60,1,94,18,89,94,86,91,85,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 015 Roberto Clemente,5,1.6875,1.6875,1,40.722075,-73.978747,MANHATTAN,10009,PK,05,0.919,9,5,32,60,1,94,18,89,94,86,91,85,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 019 Asher Levy,3,2.606060606060606,2.515151515151515,1,40.730009,-73.984496,MANHATTAN,10003,PK,05,0.641,5,10,20,63,6,92,30,96,96,97,90,86,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 019 Asher Levy,4,2.7142857142857144,2.4827586206896552,1,40.730009,-73.984496,MANHATTAN,10003,PK,05,0.641,5,10,20,63,6,92,30,96,96,97,90,86,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 019 Asher Levy,5,2.4375,2.59375,1,40.730009,-73.984496,MANHATTAN,10003,PK,05,0.641,5,10,20,63,6,92,30,96,96,97,90,86,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 020 Anna Silver,3,2.1973684210526314,2.210526315789474,1,40.721305,-73.986312,MANHATTAN,10002,PK,05,0.744,15,35,8,49,4,94,20,87,77,82,61,80,79,"PK,0K,01,02,03,04,05",7,Yes
P.S. 020 Anna Silver,4,2.140845070422535,2.242857142857143,1,40.721305,-73.986312,MANHATTAN,10002,PK,05,0.744,15,35,8,49,4,94,20,87,77,82,61,80,79,"PK,0K,01,02,03,04,05",7,Yes
P.S. 020 Anna Silver,5,2.0821917808219177,1.8493150684931507,1,40.721305,-73.986312,MANHATTAN,10002,PK,05,0.744,15,35,8,49,4,94,20,87,77,82,61,80,79,"PK,0K,01,02,03,04,05",7,Yes
P.S. 034 Franklin D. Roosevelt,3,2.310344827586207,2.2222222222222223,1,40.726008,-73.975058,MANHATTAN,10009,PK,08,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 034 Franklin D. Roosevelt,4,1.8235294117647058,2.0285714285714285,1,40.726008,-73.975058,MANHATTAN,10009,PK,08,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 034 Franklin D. Roosevelt,5,1.6896551724137931,1.7586206896551724,1,40.726008,-73.975058,MANHATTAN,10009,PK,08,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 034 Franklin D. Roosevelt,6,1.7777777777777777,1.9814814814814814,1,40.726008,-73.975058,MANHATTAN,10009,PK,08,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 034 Franklin D. Roosevelt,7,1.8363636363636364,2.1454545454545455,1,40.726008,-73.975058,MANHATTAN,10009,PK,08,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 034 Franklin D. Roosevelt,8,1.7708333333333333,2.1702127659574466,1,40.726008,-73.975058,MANHATTAN,10009,PK,08,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
The STAR Academy - P.S.63,3,2.619047619047619,2.5238095238095237,1,40.72444,-73.986214,MANHATTAN,10009,PK,05,0.73,3,4,20,65,10,93,23,90,88,87,81,89,93,"PK,0K,01,02,03,04,05",7,Yes
The STAR Academy - P.S.63,4,2.3333333333333335,2.3333333333333335,1,40.72444,-73.986214,MANHATTAN,10009,PK,05,0.73,3,4,20,65,10,93,23,90,88,87,81,89,93,"PK,0K,01,02,03,04,05",7,Yes
The STAR Academy - P.S.63,5,2.5833333333333335,2.0833333333333335,1,40.72444,-73.986214,MANHATTAN,10009,PK,05,0.73,3,4,20,65,10,93,23,90,88,87,81,89,93,"PK,0K,01,02,03,04,05",7,Yes
P.S. 064 Robert Simon,3,2.064516129032258,1.8275862068965518,1,40.72313,-73.981597,MANHATTAN,10009,PK,05,0.858,6,7,19,66,7,92,33,93,99,95,91,88,97,"PK,0K,01,02,03,04,05",7,Yes
P.S. 064 Robert Simon,4,2.025,2.075,1,40.72313,-73.981597,MANHATTAN,10009,PK,05,0.858,6,7,19,66,7,92,33,93,99,95,91,88,97,"PK,0K,01,02,03,04,05",7,Yes
P.S. 064 Robert Simon,5,2.0681818181818183,1.8333333333333333,1,40.72313,-73.981597,MANHATTAN,10009,PK,05,0.858,6,7,19,66,7,92,33,93,99,95,91,88,97,"PK,0K,01,02,03,04,05",7,Yes
P.S. 110 Florence Nightingale,3,3.0123456790123457,2.654320987654321,1,40.7162,-73.9798,MANHATTAN,10002,PK,05,0.499,1,16,10,43,27,95,13,88,78,95,69,87,78,"PK,0K,01,02,03,04,05",7,Yes
P.S. 110 Florence Nightingale,4,3.0408163265306123,2.7755102040816326,1,40.7162,-73.9798,MANHATTAN,10002,PK,05,0.499,1,16,10,43,27,95,13,88,78,95,69,87,78,"PK,0K,01,02,03,04,05",7,Yes
P.S. 110 Florence Nightingale,5,2.476923076923077,2.292307692307692,1,40.7162,-73.9798,MANHATTAN,10002,PK,05,0.499,1,16,10,43,27,95,13,88,78,95,69,87,78,"PK,0K,01,02,03,04,05",7,Yes
P.S. 134 Henrietta Szold,3,2.1666666666666665,1.8857142857142857,1,40.714248,-73.983854,MANHATTAN,10002,PK,05,0.833,12,21,20,55,3,91,36,87,89,88,88,79,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 134 Henrietta Szold,4,1.9069767441860466,1.7906976744186047,1,40.714248,-73.983854,MANHATTAN,10002,PK,05,0.833,12,21,20,55,3,91,36,87,89,88,88,79,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 134 Henrietta Szold,5,2.6176470588235294,2.4411764705882355,1,40.714248,-73.983854,MANHATTAN,10002,PK,05,0.833,12,21,20,55,3,91,36,87,89,88,88,79,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 140 Nathan Straus,3,1.4642857142857142,1.7857142857142858,1,40.719148,-73.983769,MANHATTAN,10002,PK,08,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 140 Nathan Straus,4,1.65625,1.4838709677419355,1,40.719148,-73.983769,MANHATTAN,10002,PK,08,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 140 Nathan Straus,5,1.5238095238095237,1.619047619047619,1,40.719148,-73.983769,MANHATTAN,10002,PK,08,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 140 Nathan Straus,6,2.2142857142857144,1.7962962962962963,1,40.719148,-73.983769,MANHATTAN,10002,PK,08,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 140 Nathan Straus,7,1.565217391304348,1.9148936170212767,1,40.719148,-73.983769,MANHATTAN,10002,PK,08,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 140 Nathan Straus,8,1.6721311475409837,2.2459016393442623,1,40.719148,-73.983769,MANHATTAN,10002,PK,08,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 142 Amalia Castro,3,1.9210526315789473,1.825,1,40.718121,-73.984116,MANHATTAN,10002,PK,05,0.861,8,6,11,78,2,92,27,92,89,90,83,89,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 142 Amalia Castro,4,1.7272727272727273,1.8448275862068966,1,40.718121,-73.984116,MANHATTAN,10002,PK,05,0.861,8,6,11,78,2,92,27,92,89,90,83,89,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 142 Amalia Castro,5,1.8297872340425532,1.7826086956521738,1,40.718121,-73.984116,MANHATTAN,10002,PK,05,0.861,8,6,11,78,2,92,27,92,89,90,83,89,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 184m Shuang Wen,3,3.542372881355932,2.6779661016949152,1,40.711125,-73.985438,MANHATTAN,10002,PK,08,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 184m Shuang Wen,4,3.3114754098360657,2.5833333333333335,1,40.711125,-73.985438,MANHATTAN,10002,PK,08,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 184m Shuang Wen,5,3.4923076923076923,2.9206349206349205,1,40.711125,-73.985438,MANHATTAN,10002,PK,08,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 184m Shuang Wen,6,3.2560975609756095,3.026315789473684,1,40.711125,-73.985438,MANHATTAN,10002,PK,08,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 184m Shuang Wen,7,3.125,2.9444444444444446,1,40.711125,-73.985438,MANHATTAN,10002,PK,08,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 184m Shuang Wen,8,3.2916666666666665,3.1956521739130435,1,40.711125,-73.985438,MANHATTAN,10002,PK,08,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,3,1.775,1.9,1,40.719888,-73.97738,NEW YORK,10002,PK,08,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,4,1.868421052631579,1.7837837837837838,1,40.719888,-73.97738,NEW YORK,10002,PK,08,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,5,1.7,1.5625,1,40.719888,-73.97738,NEW YORK,10002,PK,08,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,6,2.5294117647058822,2.0416666666666665,1,40.719888,-73.97738,NEW YORK,10002,PK,08,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,7,1.7962962962962963,1.5925925925925926,1,40.719888,-73.97738,NEW YORK,10002,PK,08,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 188 The Island School,8,2.1,1.96,1,40.719888,-73.97738,NEW YORK,10002,PK,08,0.917,16,2,30,64,4,91,37,100,100,99,99,92,99,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
"Technology, Arts, and Sciences Studio",6,1.6888888888888889,2.1136363636363638,1,40.730009,-73.984496,MANHATTAN,10003,06,08,0.791,6,8,29,55,4,90,35,84,78,81,80,74,87,"06,07,08",3,Yes
"Technology, Arts, and Sciences Studio",7,1.3695652173913044,1.8541666666666667,1,40.730009,-73.984496,MANHATTAN,10003,06,08,0.791,6,8,29,55,4,90,35,84,78,81,80,74,87,"06,07,08",3,Yes
"Technology, Arts, and Sciences Studio",8,1.297872340425532,2.125,1,40.730009,-73.984496,MANHATTAN,10003,06,08,0.791,6,8,29,55,4,90,35,84,78,81,80,74,87,"06,07,08",3,Yes
The East Village Community School,3,3.4285714285714284,2.5142857142857142,1,40.727537,-73.978254,MANHATTAN,10009,PK,05,0.362,1,9,9,21,55,95,11,90,93,94,93,97,96,"PK,0K,01,02,03,04,05",7,Yes
The East Village Community School,4,2.5161290322580645,2.6875,1,40.727537,-73.978254,MANHATTAN,10009,PK,05,0.362,1,9,9,21,55,95,11,90,93,94,93,97,96,"PK,0K,01,02,03,04,05",7,Yes
The East Village Community School,5,2.611111111111111,2.5,1,40.727537,-73.978254,MANHATTAN,10009,PK,05,0.362,1,9,9,21,55,95,11,90,93,94,93,97,96,"PK,0K,01,02,03,04,05",7,Yes
University Neighborhood Middle School,6,1.7567567567567568,2.0,1,40.713362,-73.986051,MANHATTAN,10002,06,08,0.771,15,5,27,63,4,92,26,92,96,92,96,86,96,"06,07,08",3,Yes
University Neighborhood Middle School,7,1.2857142857142858,1.9259259259259258,1,40.713362,-73.986051,MANHATTAN,10002,06,08,0.771,15,5,27,63,4,92,26,92,96,92,96,86,96,"06,07,08",3,Yes
University Neighborhood Middle School,8,1.3,2.0,1,40.713362,-73.986051,MANHATTAN,10002,06,08,0.771,15,5,27,63,4,92,26,92,96,92,96,86,96,"06,07,08",3,Yes
The Children's Workshop School,3,2.8181818181818183,2.4545454545454546,1,40.727537,-73.978254,MANHATTAN,10009,PK,05,0.451,7,10,10,39,38,93,23,97,97,97,96,93,94,"PK,0K,01,02,03,04,05",7,Yes
The Children's Workshop School,4,2.3043478260869565,2.6956521739130435,1,40.727537,-73.978254,MANHATTAN,10009,PK,05,0.451,7,10,10,39,38,93,23,97,97,97,96,93,94,"PK,0K,01,02,03,04,05",7,Yes
The Children's Workshop School,5,2.6451612903225805,2.806451612903226,1,40.727537,-73.978254,MANHATTAN,10009,PK,05,0.451,7,10,10,39,38,93,23,97,97,97,96,93,94,"PK,0K,01,02,03,04,05",7,Yes
Neighborhood School,3,2.3333333333333335,2.1,1,40.72444,-73.986214,MANHATTAN,10009,PK,05,0.43,4,5,13,34,45,92,23,99,97,95,96,95,99,"PK,0K,01,02,03,04,05",7,Yes
Neighborhood School,4,2.0,1.6666666666666667,1,40.72444,-73.986214,MANHATTAN,10009,PK,05,0.43,4,5,13,34,45,92,23,99,97,95,96,95,99,"PK,0K,01,02,03,04,05",7,Yes
Neighborhood School,5,2.0,2.235294117647059,1,40.72444,-73.986214,MANHATTAN,10009,PK,05,0.43,4,5,13,34,45,92,23,99,97,95,96,95,99,"PK,0K,01,02,03,04,05",7,Yes
Earth School,3,2.6363636363636362,2.3636363636363638,1,40.72313,-73.981597,MANHATTAN,10009,PK,05,0.448,6,7,13,35,37,94,15,96,99,96,98,96,98,"PK,0K,01,02,03,04,05",7,Yes
